"lat","lon"
-34.2985,142.2346
-36.9484,147.7596
-38.0651,145.8013
-37.6651,145.3679
-38.0677,141.8305
-37.9318,146.7679
-33.77,151.07
-33.83,151.22
30.459319,-95.628384
-38.162405,176.262063
30.144695,-95.577225
-38.410167,143.592917
37.14858,-119.59154
35.17563,-120.60975
37.042307,-122.17353
39.026433,-77.251738
0,0
-27.750556,-48.508889
-20.423889,-54.676944
27.938341,-82.767252
41.006781,-124.107654
40.890112,-124.014716
-36.858972,174.772778
-38.036556,175.827722
-44.45475,171.165167
22.75,88.35
-40.866667,175.016667
22.566667,88.366667
-20.95,165.266667
-28.96158,31.75967
29.668053,-81.237594
-29.554657,30.256184
30.030142,-95.27782
32.330604,-96.654185
30.246712,-88.085105
32.435844,-85.403708
25.758614,-80.373322
-35.842639,145.009889
-35.842278,145.009444
-32.03378,115.945372
-31.65,115.733333
-16.983333,122.666667
-31.983333,115.966667
-31.426389,115.896667
-32.018056,115.92
-16.966667,122.65
-32.283333,115.833333
-31.916667,115.833056
-16.975556,122.659722
-31.663333,115.741389
-31.55,115.683333
-31.916667,115.816667
-31.839444,116.018056
-17.932778,122.233333
-16.45,124.833333
25.667553,-80.540848
-26.469722,135.473333
-35.283333,149.033333
-33.046667,146.763889
-35.1775,149.11
-33.923056,150.975278
-15.483333,128.483333
-34.832054,139.101094
-35.529722,138.894167
-35.283333,149.041667
-31.080556,152.841111
-34.181967,150.600949
-34.48197,150.334288
-33.865296,151.200937
-34.966667,138.858333
-33.5689,150.8667
-37.966667,140.883333
-34.15,145.816667
-15.761667,128.698889
-34.02,150.85
-33.92,150.92
-34.45,140.566667
-37.691667,144.972778
-34.15,150.52
-34.283333,140.6
-35.52,144.95
-35.005669,138.716099
-33.92,150.85
-16.9756,122.6597
-35.082615,138.686657
-35.432062,138.551106
-33.37,148.02
-33.95,150.4167
-37.722059,140.625558
-30.97,153
-29.65,152.95
-34.275,139.633333
-33.55,150.38
-35.532012,144.93437
-33.72,151.07
-33.931965,150.867609
-33.729187,150.953717
-34.47,150.32
-32.37,152.47
-32.6667,151.6475
-33.8,151.02
-35.289722,149.135
-35.739832,139.733598
-33.92,150.75
-33.75,150.7
-34.306944,140.591944
-37.566667,140.55
-34.17,150.62
-34.165334,145.817678
-34.27,150.35
-35.516667,139.166667
-33.92,150.87
-33.85,146.27
-33.990299,150.884276
-33.97,151.12
-30.93,150.92
-36.07,146.92
-33.95,151.2
-33.77,150.77
-28.183333,152.75
-35.303333,149.158333
-35.235278,149.075556
-35.116667,139.266667
-36.522843,145.979646
-28.62,153
-34.3,146.066667
-35.514836,139.188045
-33.98,150.85
-36.716667,140.95
-33.8,150.77
-34.17,145.82
-35.825,150.203056
-33.981963,151.184272
-34,151.07
-33.57,150.65
-34.2164,145.8022
-33.67,150.9
-33.748633,150.66761
-36.065334,146.901018
-35.031389,138.779167
-34.748664,146.551008
-33.77,150.95
-30.9193,151.1448
-35.299722,149.168333
-33.87,150.95
-33.8,150.9
-34.281724,145.772402
-17.9328,122.2333
-34.75,149.7167
-33.78,150.95
