"","lon","lat"
"656",144.920983,-35.936589
"657",144.17996,-35.663341
"658",151.13727,-32.934365
"659",151.233717,-32.627318
"660",150.072436,-33.081997
"661",150.059588,-33.137499
"662",150.9032,-33.688378
"663",150.805773,-33.852792
"664",151.755493,-32.738549
"665",150.94216,-30.547987
"666",151.621605,-32.553982
"667",151.080134,-33.665301
"668",151.797128,-32.584017
"669",153.31366,-28.832786
"670",150.775491,-34.125401
"671",146.597451,-34.654606
