Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Treatment,Incubator,Species,Aphid_count_1,Aphid_count_2,Aphid_count_3,Petridish_Alive_count_1,Petridish_Alive_count_2,Petridish_Alive_count_2,Petridish_dead_count_1,Petridish_Dead_count_2,Petridish_Dead_count_3,Cat,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Errors,Remarks,Technician
,15-Apr-22,20-Apr-22,Simplelong15_095_16,15,0.95,5,17,8,0,,,,,,,,N,14.94202,14.92605,2.503912,2.515628,0.955009337,0.952180738,,,Champ
,15-Apr-22,20-Apr-22,Simplelong15_095rev_16,15,0.95,6,0,17,13,,,,,,,,P,14.95833,14.90917,2.498322,2.494296,0.954106371,0.953215772,,,Champ
,22-Sep-22,27-Sep-22,simplelong10_000_7,10,0,2,1,1,4,,,,,,,,,9.952,9.94,2.452,2.451,0.014,0.026,,,Champ
,22-Sep-22,27-Sep-22,simplelong10_095_7,10,0.95,3,1,1,2,,,,,,,,N,9.958,9.93,2.495,2.5,0.953,0.952,,,Champ
,22-Sep-22,27-Sep-22,simplelong10_095rev_7,10,0.95,4,1,1,1,,,,,,,,P,9.965,9.933,2.493,2.501,0.953,0.948,,,Champ
,06-Oct-22,11-Oct-22,simplelong10_000_9,10,0,2,2,1,1,,,,,,,,,9.951,9.968,2.464,2.438,0.012,0.015,,,Champ
,06-Oct-22,11-Oct-22,simplelong10_095rev_9,10,0.95,3,0,1,1,,,,,,,,N,9.973,9.926,2.496,2.492,0.953,0.953,,,Champ
,06-Oct-22,11-Oct-22,simplelong10_095_9,10,0.95,4,0,1,1,,,,,,,,P,9.941,10.028,2.503,2.404,0.953,0.946,,,Champ
1,27-Feb-25,04-Mar-25,simplelong15_000_18,15,0,2,,2,0,21,1,13,12,,,,,,,,,,,y,prep 1 day earlier,Yvan
1,27-Feb-25,04-Mar-25,simplelong15_095_18,15,0.95,3,,11,18,12,13,22,18,,,,N,,,,,,,y,prep 1 day earlier,Yvan
1,27-Feb-25,04-Mar-25,simplelong15_095rev_18,15,0.95,4,,11,15,20,16,17,18,,,,P,,,,,,,y,prep 1 day earlier,Yvan
2,21-Mar-25,26-Mar-25,simplelong15_095_19,15,0.95,2,,1,2,21,7,13,16,1,4,7,P,,,,,,,,,Yvan
2,21-Mar-25,26-Mar-25,simplelong15_095rev_19,15,0.95,3,,11,10,17,21,13,1,12,5,1,N,,,,,,,,,Yvan
2,21-Mar-25,26-Mar-25,simplelong15_000_19,15,0,4,,10,11,9,16,17,11,5,5,2,,,,,,,,,,Yvan
3,05-Apr-25,10-Apr-25,simplelong27_095rev_34,27,0.95,2,,10,1,2,0,10,6,1,1,1,N,,,,,,,,,Yvan
3,05-Apr-25,10-Apr-25,simplelong27_095_34,27,0.95,4,,5,3,14,10,5,3,0,0,0,P,,,,,,,,,Yvan
3,05-Apr-25,10-Apr-25,simplelong27_000_34,27,0,6,,16,2,5,7,11,22,0,1,17,,,,,,,,,,Yvan
4,10-Apr-25,15-Apr-25,simplelong27_095_35,27,0.95,2,,0,5,1,12,1,1,0,0,1,N,,,,,,,,,Yvan
4,10-Apr-25,15-Apr-25,implelong27_095rev_35,27,0.95,4,,2,2,1,2,2,1,0,0,1,P,,,,,,,,,Yvan
4,10-Apr-25,15-Apr-25,simplelong27_000_35,27,0,6,,18,5,1,15,1,8,31,2,1,,,,,,,,,,Yvan
5,17-Apr-25,22-Apr-25,simplelong15_095rev_20,15,0.95,2,,1,1,7,1,2,2,1,2,1,P,,,,,,,,,Yvan
5,17-Apr-25,22-Apr-25,simplelong15_000_20,15,0,4,,1,1,1,1,1,1,1,2,1,,,,,,,,,,Yvan
5,17-Apr-25,22-Apr-25,simplelong15_095_20,15,0.95,6,,0,9,0,3,1,1,0,1,1,N,,,,,,,,,Yvan
