Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Thermal_regime,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Technical_issue,Notes,Total_frond,Total_offspring,RGR
17-Dec-21,22-Dec-21,Simplelong39_1,39,constant,3,NA,NA,NA,5,4,5,,,14,NA,0.030830136
14-Jan-22,19-Jan-22, Simplelong20_2,20,constant,1,NA,NA,NA,9,9,8,,,26,NA,0.154637978
14-Jan-22,19-Jan-22, Simplelong35_1,35,constant,2,NA,NA,NA,9,11,10,,,30,NA,0.183258146
14-Jan-22,19-Jan-22, Simplelong40_1,40,constant,3,NA,NA,NA,4,0,4,,,8,NA,0
21-Jan-22,26-Jan-22, Simplelong20_2,20,constant,1,NA,NA,NA,9,9,9,,,27,NA,0.162186043
21-Jan-22,26-Jan-22, Simplelong35_1,35,constant,2,NA,NA,NA,7,6,7,,,20,NA,0.102165125
21-Jan-22,26-Jan-22, Simplelong40_1,40,constant,3,NA,NA,NA,0,0,2,,,2,NA,0
28-Jan-22,2-Feb-22, Simplelong20_2,20,constant,1,NA,NA,NA,11,15,9,,,35,NA,0.214088282
28-Jan-22,2-Feb-22, Simplelong40_1,40,constant,2,NA,NA,NA,0,0,0,,,0,NA,0
28-Jan-22,2-Feb-22, Simplelong40_1,40,constant,3,NA,NA,NA,0,0,0,,,0,NA,0
11-Mar-22,16-Mar-22,Simplelong40_6,40,constant,5,0,0,0,0,0,0,,,0,0,0
11-Mar-22,16-Mar-22,Simplelong5_1,5,constant,6,0,0,0,4,5,5,,,14,0,0.030830136
25-Mar-22,30-Mar-22,Simplelong5_1,5,constant,5,NA,NA,NA,4,5,4,,,13,NA,0.016008542
