Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Thermal_regime,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Technical_issue,Notes
31-Jan-21,05-Feb-21,simplelong_27_000_9,27,0,1,28,13,30,5,12,8,y,Incubator 1 not working properly. Protocol data not following profile. 
31-Jan-21,05-Feb-21,simplelong_27_060_9,27,0.6,3,35,18,25,6,7,8,,
31-Jan-21,05-Feb-21,simplelong_27_095_9,27,0.95,5,16,12,15,6,8,8,,
31-Jan-21,05-Feb-21,simplelong_27_095_rev_9,27,0.95,6,26,23,34,8,8,8,,
07-Feb-21,12-Feb-21,simplelong_27_000_9,27,0,3,10,14,18,8,6,8,,extra trial lemna- 10
07-Feb-21,12-Feb-21,simplelong_27_095_9,27,0.95,5,9,14,10,6,9,8,,extra trial lemna- 6
07-Feb-21,12-Feb-21,simplelong_27_095_rev_9,27,0.95,6,22,20,28,8,8,11,,extra trial lemna-9
14-Feb-21,19-Feb-21,simplelong_23_095_rev_3,23,0.95,3,36,34,31,6,6,6,,
14-Feb-21,19-Feb-21,simplelong_23_000_3,23,0,5,39,40,42,7,7,6,,
14-Feb-21,19-Feb-21,simplelong_23_095_3,23,0.95,6,43,45,41,6,6,6,,
21-Feb-21,26-Feb-21,simplelong_23_060_3,23,0.6,3,29,35,33,6,7,6,,
21-Feb-21,26-Feb-21,simplelong_23_095_3,23,0.95,5,30,29,35,6,6,5,,
21-Feb-21,26-Feb-21,simplelong_23_095_rev_3,23,0.95,6,37,39,43,6,6,6,,
28-Feb-21,04-Mar-21,simplelong_23_000_4,23,0,3,48,38,24,6,8,6,,
28-Feb-21,04-Mar-21,simplelong_23_095_4,23,0.95,5,30,25,27,6,5,6,,
28-Feb-21,04-Mar-21,simplelong_23_095_rev_4,23,0.95,6,40,23,21,5,6,6,,
06-Mar-21,11-Mar-21,simplelong_23_060_4,23,0.6,3,24,25,30,4,7,7,,
06-Mar-21,11-Mar-21,simplelong_23_095_4,23,0.95,5,21,40,32,7,4,6,,
06-Mar-21,11-Mar-21,simplelong_23_095_4,23,0.95,6,31,22,23,6,4,5,,
12-Mar-21,17-Mar-21,simplelong_19_000_2,19,0,3,32,39,28,,,,y,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators
12-Mar-21,17-Mar-21,simplelong_19_095_2,19,0.95,5,26,34,23,,,,y,
12-Mar-21,17-Mar-21,simplelong_19_060_2,19,0.6,6,32,35,32,,,,y,
19-Mar-21,24-Mar-21,simplelong_19_000_2,19,0,5,14,16,23,3,1,1,y,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators
19-Mar-21,24-Mar-21,simplelong_19_060_2,19,0.6,3,7,9,12,3,1,3,y,
19-Mar-21,24-Mar-21,simplelong_19_095rev_2,19,0.95,6,26,27,28,1,1,,y,
02-Apr-21,07-Apr-21,constant temperature at 23,23,constant,3,38,44,41,4,4,3,,
02-Apr-21,07-Apr-21,constant temperature at 15,15,constant,6,4,0,14,2,2,3,,one adult aphid had wings
09-Apr-21,14-Apr-21,simplelong27_1,27,constant,3,16,14,14,6,6,7,,
09-Apr-21,14-Apr-21,simplelong19_1,19,constant,5,30,32,30,2,3,3,,
16-Apr-21,21-Apr-21,simplelong15_1,15,constant,3,12,12,9,2,3,3,,
16-Apr-21,21-Apr-21,simplelong23_1,23,constant,5,31,35,31,5,6,6,,
16-Apr-21,21-Apr-21,simplelong19_1,19,constant,6,20,22,19,3,4,3,,
04-Jun-21,09-Jun-21,simplelong19_000_2,19,0,3,13,15,8,,,,y,Issue with incubators - 20+ hour gaps and computer likely updated
04-Jun-21,09-Jun-21,simplelong19_095rev_2,19,0.95,5,13,6,5,,,,y,
04-Jun-21,09-Jun-21,simplelong19_095_2,19,0.95,6,27,23,13,,,,y,
11-Jun-21,16-Jun-21,simplelong_19_060_2,19,0.6,3,25,16,24,,,,y,Issue with incubators - 20+ hour gaps 
11-Jun-21,16-Jun-21,simplelong_19_095rev2,19,0.95,5,8,27,29,,,,y,
11-Jun-21,16-Jun-21,simplelong_19_095_2,19,0.95,6,16,8,21,,,,y,
02-Jul-21,07-Jul-21,simplelong_31_1,31,constant,3,1,1,2,,,,,There was a gap with the incubators however held at constant temperature
02-Jul-21,07-Jul-21,simplelong_31_1,31,constant,5,0,3,1,,,,,
02-Jul-21,07-Jul-21,simplelong_31_1,31,constant,6,2,0,2,,,,,
16-Jul-21,21-Jul-21,simplelong_11_1,11,constant,3,5,0,0,5,0,0,,"All duckweed counts are total fronds even if they are associated with a colony. Starting number was 2 colonies, 2 fronds each; 4 fronds total"
16-Jul-21,21-Jul-21,simplelong_15_1,15,constant,5,8,14,11,6,4,4,,
16-Jul-21,21-Jul-21,simplelong_31_1,31,constant,6,4,3,4,10,9,8,,"Duckweed counts consisted of multiple colonies and some singles. Rep1: 2 colonies, 1 w 6 fronds, 1 w 4 fronds, 2 roots each. Rep2: 3 colonies, 1 w 2 fronds, 1 w 4 fronds, 1 w 3 fronds, 2 roots each. Rep3: 2 colonies, 1 w 5 fronds, 1 w 2 fronds, 1 single frond."
