Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Turionifera1,Turionifera2,Turionifera3,,,Duckweed_Notes,,,,,Notes
July 23/2021,July 28/2021,simplelong15_1,15,constant,6,6,4,0,,,,,,,,,,,,,,
August 13/2021,August 18/2021,simplelong15_1,15,constant,3,17,21,6,7,6,6,,,,,,,,,,,one adult had wings
August 13/2021,August 18/2021,simplelong11_1,11,constant,5,15,19,19,6,7,5,,,,,,,,,,,
August 13/2021,August 18/2021,simplelong31_1,31,constant,6,24,22,26,8,8,8,,,,,,,,,,,Computer tuned off and all incubators were at 20C
August 20/21,August 25/21,simplelong31_1,31,constant,3,0,0,0,10,12,12,,,,,,10(2col),12(6col),12(4col),,,"Celsius frozen, protocol data not recorded after ~50h. It appears as though the incubators remained at the programmed temperatures throughout. "
August 21/21,August 26/21,simplelong15_1,15,constant,5,18,7,8,5,4,5,,,,,,5(2col),4(2col),5(2col),,,
August 22/21,August 27/21,simplelong11_1,11,constant,6,10,8,5,4,4,4,,,,,,4(2col),4(2col),4(2col),,,
September 3/21,September 8/21,simplelong15_1,15,constant,3,13,19,19,,,,,,,,,,,,,,"error: unknown IP address, no connection made because the target machine actively refused it "
September 3/21,September 8/21,simplelong11_1,11,constant,5,4,1,1,,,,,,,,,,,,,,
September 3/21,September 8/21,simplelong31_1,31,constant,6,2,1,0,,,,,,,,,,,,,,
September 10/21,September 15/2021,simplelong11_1,11,constant,3,8,6,0,4,4,6,,,,,,4(2col),4(2col),6(2col),,,"error: celsius not running due to windows taking updates @24h, incubators at 20c"
September 10/21,September 15/2021,simplelong31_1,31,constant,5,0,0,1,10,12,10,,,,,,10(4col),12(4col),10(4col),,,
September 10/21,September 15/2021,simplelong15_1,15,constant,6,10,0,12,2,5,5,,,,,,2(2col),5(2col),5(3col),,,one adult had wings
September 17/2021,September 22/2021,simplelong15_1,15,constant,3,,,,6,5,5,,,,,,6(2col),5(2col),5(2col),,,
September 17/2021,September 22/2021,simplelong11_1,11,constant,5,,,,4,5,4,,,,,,4(2col),5(2col),4(2col),,,
September 17/2021,September 22/2021,simplelong31_1,31,constant,6,,,,13,12,13,,,,,,13(6col),12(6col),13(5col),,,
September 24/2021,September 29/2021,simplelong31_1,31,constant,3,1,1,0,10,10,13,,,,,,10(3col),10(4col),13(4col),,,one adult had wings
September 24/2021,September 29/2021,simplelong15_1,15,constant,5,0,10,10,4,5,4,,,,,,4(2col),5(2col),4(2col),,,one adult had wings
September 24/2021,September 29/2021,simplelong11_1,11,constant,6,6,0,0,5,4,5,,,,,,5(3col),4(2col),5(2col),,,
October 8/2021,October 13/2021,simplelong15_000_6,15,0,5,15,24,12,3,3,2,,,,,,,,,,,"error: unknown IP address, no connection made because the target machine actively refused it"
October 8/2021,October 13/2021,simplelong15_060_6,15,0.6,3,11,3,0,3,2,4,,,,,,,,,,,incubators cut out for a 9 hour period on oct 11
October 8/2021,October 13/2021,simplelong15_095_6,15,0.95,6,0,1,11,3,3,2,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong15_095rev_06,15,0.95,1,7,9,15,5,7,8,,,,,,,,,,,34 hour gap in incubators
October 22/2021,october 27/2021,simplelong20_1,20,constant,2,,,,8,9,9,,,,,,,,,,,
