"","fname","slp","r2","p","cat","program_mean","obs_mean","program_sd","obs_sd","program_ac","obs_ac"
"17","e114inc4_27_095_26.xls",-0.000712855845290065,0.353758652794392,0,"N",26.9566666666667,26.9133333333333,2.48585015244124,2.4823387364018,0.957642827527519,0.955056407235206
"18","e115inc2_27_095rev_27.xls",-0.000502695294889657,0.175021563254045,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000698667027918324,"N",26.9566666666667,26.925,2.4903083853896,2.49948734239442,0.954596946801182,0.951478421403062
"19","e115inc4_27_095_27.xls",0.000505551516862025,0.177024662982915,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210893190689183,"P",26.9575,26.9208333333333,2.49219495912453,2.48254057430714,0.954469688846736,0.955169265396135
"20","e117_inc3_27_095rev_28.xls",-0.000686428269729451,0.326088022171814,0,"N",26.9441666666667,26.91,2.49273889504688,2.51049561547,0.949614474329212,0.94405246344039
"21","e117_inc6_27_095_28.xls",0.000685856632379815,0.326125657804152,0,"P",26.9525,26.8983333333333,2.49739233749825,2.50119243270768,0.949489633343068,0.944398819755477
"22","e118_inc3_27_095_29.xls",0.000831350057616248,0.486488638272807,0,"P",26.955,26.9125,2.4962105734274,2.488479759332,0.950485268315313,0.945771751686516
"23","e118_inc6_27_095rev_29.xls",-0.000813312539012045,0.467707550156407,0,"N",26.95,26.9133333333333,2.49122830896627,2.49658366012213,0.949125978281474,0.947065943541337
"24","e119_inc4_27_095_30.xls",-0.000918988687810108,0.59118507175643,0,"N",26.9508333333333,26.9283333333333,2.4960808215655,2.49430219046669,0.941573482106425,0.939148864979717
"25","e119_inc6_27_095rev_30.xls",0.000917883318421607,0.589885911656804,0,"P",26.9591666666667,26.9158333333333,2.49367252482447,2.50515421063208,0.942402817838697,0.941709284407661
"26","e120_inc2_27_095_31.xls",0.000688976230202335,0.337891824188372,0,"P",26.9983606557377,26.9508196721311,2.49922247765568,2.51663050022269,0.947857338856358,0.944674838428623
"27","e120_inc6_27_095rev_31.xls",-0.000646051286623034,0.299223278130843,0,"N",26.9603305785124,26.9256198347107,2.48808759689187,2.49203828641067,0.954755298770803,0.952515895335654
"28","e121_inc2_27_095_32.xls",-0.000549285050258528,0.207482340492819,0,"N",26.9466666666667,26.9041666666667,2.49927496489283,2.50563720181411,0.950012227446041,0.94701566336263
"29","e121_inc4_27_095rev_32.xls",0.000548372442291581,0.20717637853235,0,"P",26.9558333333333,26.9066666666667,2.49513125345918,2.49903286615171,0.95027458574285,0.947738560637457
"30","e122_inc2_27_095rev_33.xls",0.000687951842282344,0.33024999109085,0,"P",26.9541666666667,26.9075,2.49132598872023,2.49234668872666,0.950171331567601,0.945263625058466
"31","e122_inc3_27_095_33.xls",-0.000692168300668189,0.333503944259892,0,"N",26.9525,26.9233333333333,2.49119331197863,2.4881478155087,0.949925467413341,0.949599377536788
"32","e31inc5_19_095_2.xls",-0.000713423528305153,0.376319838993021,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227746285069804,"N",19.7796610169492,20.7,1.7682169937821,2.00487501094802,0.95708333340532,1
"33","e33inc6_19_095rev_2.xls",0.00113621243791313,0.786879968154438,0,"P",18.2119658119658,19.3277777777778,2.83731789308271,3.12671540219912,0.969112783692199,0.864169320705606
"34","e34inc3_19_095_2.xls",-0.00000600798626897762,0.0000153944071301921,0.883346341791821,"N",21.7753424657534,21.2565217391304,1.13355155030523,1.39896912921834,0.812034046297753,0.431598505503382
