"Plot Title: greenhouse_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
227,08/16/24 12:00:00  AM,26.488,0.0,,,
228,08/16/24 01:00:00  AM,25.708,0.0,,,
229,08/16/24 02:00:00  AM,25.125,0.0,,,
230,08/16/24 03:00:00  AM,24.448,0.0,,,
231,08/16/24 04:00:00  AM,23.869,0.0,,,
232,08/16/24 05:00:00  AM,23.484,0.0,,,
233,08/16/24 06:00:00  AM,23.292,0.0,,,
234,08/16/24 07:00:00  AM,23.292,387.5,,,
235,08/16/24 08:00:00  AM,23.773,645.8,,,
236,08/16/24 09:00:00  AM,24.545,1377.8,,,
237,08/16/24 10:00:00  AM,25.610,2497.2,,,
238,08/16/24 10:54:52  AM,,,Logged,,
239,08/16/24 10:55:07  AM,,,,Logged,Logged
