"ambient","nw","all_day","time","order","random_variation"
33.5262794416288,33.9951905283833,36.1602540378444,18,176,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,177,32.6733460059314
29.5,31.25,32.5,20,178,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,179,20
24,27.5,27.5,22,180,20
21.1529905038723,25.5588571617311,24.9118095489748,23,181,24.7113181652477
18.5,23.75,22.5,24,182,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,183,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,184,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,185,20.2923163956038
13,20,17.5,4,186,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,187,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,188,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,189,20.1691622694777
18.5,23.75,22.5,8,190,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,191,25.3242571456615
24,27.5,27.5,10,192,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,193,30.4973927046605
29.5,31.25,32.5,12,194,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,195,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,196,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,197,34.108747180996
35,35,37.5,16,198,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,199,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,200,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,201,32.6733460059314
29.5,31.25,32.5,20,202,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,203,20
24,27.5,27.5,22,204,20
21.1529905038723,25.5588571617311,24.9118095489748,23,205,24.7113181652477
18.5,23.75,22.5,24,206,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,207,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,208,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,209,20.2923163956038
13,20,17.5,4,210,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,211,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,212,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,213,20.1691622694777
18.5,23.75,22.5,8,214,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,215,25.3242571456615
24,27.5,27.5,10,216,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,217,30.4973927046605
29.5,31.25,32.5,12,218,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,219,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,220,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,221,34.108747180996
35,35,37.5,16,222,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,223,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,224,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,225,32.6733460059314
29.5,31.25,32.5,20,226,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,227,20
24,27.5,27.5,22,228,20
21.1529905038723,25.5588571617311,24.9118095489748,23,229,24.7113181652477
18.5,23.75,22.5,24,230,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,231,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,232,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,233,20.2923163956038
13,20,17.5,4,234,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,235,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,236,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,237,20.1691622694777
18.5,23.75,22.5,8,238,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,239,25.3242571456615
24,27.5,27.5,10,240,26.3068378023611
