"","control","nw","time","order"
"6.6",130,200,40,1620
"7.6",133.748159108202,202.55556302832,50,1630
"8.6",144.737205583712,210.048094716167,60,1640
"9.6",162.21825406948,221.966991411009,70,1650
"10.6",185,237.5,80,1660
"11.6",211.529905038723,255.588571617311,90,1670
"12.6",240,275,100,1680
"13.7",268.470094961277,294.411428382689,110,1690
"14.7",295,312.5,120,1700
"15.7",317.78174593052,328.033008588991,130,1710
"16.7",335.262794416288,339.951905283833,140,1720
"17.7",346.251840891798,347.44443697168,150,1730
"18.7",350,350,160,1740
"19.7",346.251840891798,347.44443697168,170,1750
"20.7",335.262794416288,339.951905283833,180,1760
"21.7",317.78174593052,328.033008588991,190,1770
"22.7",295,312.5,200,1780
"23.7",268.470094961277,294.411428382689,210,1790
"24.7",240,275,220,1800
"1.7",211.529905038723,255.588571617311,230,1810
"2.7",185,237.5,240,1820
"3.7",162.21825406948,221.966991411009,10,1830
"4.7",144.737205583712,210.048094716167,20,1840
"5.7",133.748159108202,202.55556302832,30,1850
"6.7",130,200,40,1860
"7.7",133.748159108202,202.55556302832,50,1870
"8.7",144.737205583712,210.048094716167,60,1880
"9.7",162.21825406948,221.966991411009,70,1890
"10.7",185,237.5,80,1900
"11.7",211.529905038723,255.588571617311,90,1910
"12.7",240,275,100,1920
"13.8",268.470094961277,294.411428382689,110,1930
"14.8",295,312.5,120,1940
"15.8",317.78174593052,328.033008588991,130,1950
"16.8",335.262794416288,339.951905283833,140,1960
"17.8",346.251840891798,347.44443697168,150,1970
"18.8",350,350,160,1980
"19.8",346.251840891798,347.44443697168,170,1990
"20.8",335.262794416288,339.951905283833,180,2000
"21.8",317.78174593052,328.033008588991,190,2010
"22.8",295,312.5,200,2020
"23.8",268.470094961277,294.411428382689,210,2030
"24.8",240,275,220,2040
"1.8",211.529905038723,255.588571617311,230,2050
"2.8",185,237.5,240,2060
"3.8",162.21825406948,221.966991411009,10,2070
"4.8",144.737205583712,210.048094716167,20,2080
"5.8",133.748159108202,202.55556302832,30,2090
"6.8",130,200,40,2100
"7.8",133.748159108202,202.55556302832,50,2110
"8.8",144.737205583712,210.048094716167,60,2120
"9.8",162.21825406948,221.966991411009,70,2130
"10.8",185,237.5,80,2140
"11.8",211.529905038723,255.588571617311,90,2150
"12.8",240,275,100,2160
"13.9",268.470094961277,294.411428382689,110,2170
"14.9",295,312.5,120,2180
"15.9",317.78174593052,328.033008588991,130,2190
"16.9",335.262794416288,339.951905283833,140,2200
"17.9",346.251840891798,347.44443697168,150,2210
"18.9",350,350,160,2220
"19.9",346.251840891798,347.44443697168,170,2230
"20.9",335.262794416288,339.951905283833,180,2240
"21.9",317.78174593052,328.033008588991,190,2250
"22.9",295,312.5,200,2260
"23.9",268.470094961277,294.411428382689,210,2270
"24.9",240,275,220,2280
"1.9",211.529905038723,255.588571617311,230,2290
"2.9",185,237.5,240,2300
"3.9",162.21825406948,221.966991411009,10,2310
"4.9",144.737205583712,210.048094716167,20,2320
"5.9",133.748159108202,202.55556302832,30,2330
"6.9",130,200,40,2340
"7.9",133.748159108202,202.55556302832,50,2350
"8.9",144.737205583712,210.048094716167,60,2360
"9.9",162.21825406948,221.966991411009,70,2370
"10.9",185,237.5,80,2380
"11.9",211.529905038723,255.588571617311,90,2390
"12.9",240,275,100,2400
